# Kho cờ thế, sinh bằng tool/generate_puzzles_test.dart
# Mỗi dòng: <số nửa nước>|<thế cờ FEN>|<đường thắng mẫu>
# Mọi dòng đều đã được máy chứng minh là thắng ép và chỉ có đúng một
# nước mở đầu thắng. Đừng sửa tay — sửa xong là bài kiểm đỏ.
5|3a1kN2/9/3P5/9/9/9/9/9/9/4K4 w - - 0 1|d7d8 f9f8 g9h7 f8f9 d8d9
5|9/3k1C3/9/6R2/9/4p3P/9/9/4K4/9 w - - 0 1|g6e6 d8d9 e6e4 d9d8 e4d4
5|9/3k5/9/9/9/1C2N1p2/6N2/p8/5K3/9 w - - 0 1|e4d6 d8d9 f1e1 d9d8 b4d4
5|1n2k2n1/9/9/6R2/9/9/9/2C2K2R/9/9 w - - 0 1|i2i8 b9d8 i8d8 h9g7 g6g7
5|4k4/9/9/9/2PP5/9/2C6/5K3/9/9 w - - 0 1|d5d6 e9e8 d6d7 e8e9 d7d8
5|9/4k4/9/9/9/6C2/4N4/9/9/3K5 w - - 0 1|e3f5 e8f8 d0e0 f8f9 g4f4
5|9/9/3k5/5C3/9/8N/9/9/9/5K3 w - - 0 1|f0e0 d7d8 i4h6 d8d9 h6f7
5|5k1P1/9/7P1/9/9/9/8P/9/3K5/9 w - - 0 1|d1e1 f9f8 h7h8 f8f9 h8g8
5|3ak4/4a4/9/5P3/7C1/8N/9/9/5K3/9 w - - 0 1|f1e1 e9f9 h5f5 f9e9 f6f7
5|2ba1C3/9/3k5/9/9/5NR2/9/5K3/9/9 w - - 0 1|f4g6 d7d8 g4d4 d8e8 f9c9
5|9/4k4/9/9/4P4/9/9/3K2N2/9/9 w - - 0 1|e5e6 e8e9 e6e7 e9f9 e7e8
5|3a5/2n6/3k2P2/9/9/9/9/9/5K3/5R3 w - - 0 1|f1e1 d9e8 f0d0 c8d6 d0d6
5|2b6/5k3/5a3/3R5/9/9/9/4R4/9/3K5 w - - 0 1|d6f6 c9a7 e2e7 f8f9 f6f7
5|9/5k3/9/9/9/9/7C1/3K5/6C2/9 w - - 0 1|d2e2 f8f9 h3f3 f9f8 g1f1
5|9/9/3k5/2P6/9/9/9/9/5K3/1C7 w - - 0 1|f1e1 d7d8 c6c7 d8d9 c7c8
5|9/5kN2/9/9/6b2/9/9/3pKC3/9/9 w - - 0 1|e2e1 d2d1 e1e2 f8f9 g8f6
5|9/7PN/3k5/9/9/9/9/9/9/5K3 w - - 0 1|f0e0 d7d8 i8h6 d8d9 h6f7
5|6b2/9/3ak4/9/9/5R3/9/3K1N1N1/9/9 w - - 0 1|f4e4 e7f7 d2e2 g9e7 e4f4
5|9/9/5k3/9/9/2N5N/9/3K5/9/9 w - - 0 1|d2e2 f7f8 c4b6 f8f9 b6d7
5|6bN1/5k3/9/2N6/9/9/9/9/3K5/9 w - - 0 1|d1e1 f8f9 c6d8 f9f8 e1e2
5|9/4ak3/8b/9/1R7/9/2R1P4/3K5/9/9 w - - 0 1|c3c8 f8f9 c8e8 i7g9 b5b9
5|n3k4/9/9/7C1/9/9/6R2/9/8N/3K5 w - - 0 1|g3e3 e9f9 d0e0 a9b7 e3f3
5|4k4/9/3a4R/9/6n2/3N4N/9/5K3/9/9 w - - 0 1|i4g5 e9e8 i7d7 e8e9 d7d8
5|9/5k3/9/9/6b2/9/7RN/7n1/9/3KR4 w - - 0 1|h3h2 g5e7 h2h8 f8f9 e0e7
5|3k5/9/9/9/4P4/9/2P4N1/9/9/5K3 w - - 0 1|e5e6 d9d8 e6e7 d8d9 e7e8
5|9/9/5k3/9/1Np6/2P6/9/4K4/9/9 w - - 0 1|c4c5 f7f8 b5c7 f8f9 c7d9
5|2b6/4C4/4k4/9/9/6R2/9/9/9/3K5 w - - 0 1|g4e4 e7f7 d0e0 c9a7 e4f4
5|4k4/9/1P7/9/N8/9/9/9/5K3/7N1 w - - 0 1|b7c7 e9e8 c7d7 e8e9 d7d8
5|4k4/9/3a5/9/2P6/9/9/9/9/1N1K2R2 w - - 0 1|g0g8 e9f9 d0e0 d7e8 g8e8
5|9/7P1/b3k4/3R5/9/9/7p1/9/3C1K3/9 w - - 0 1|d6e6 e7d7 f1e1 a7c9 e6d6
5|3k5/6R2/4b4/8P/9/9/9/4K4/9/9 w - - 0 1|g8g7 d9d8 g7e7 d8d9 e7e8
5|3C5/3k5/9/9/9/5N3/9/9/N4K3/9 w - - 0 1|f1e1 d8d9 f4g6 d9d8 g6f8
5|9/9/5k3/9/9/9/9/3K4N/9/3N5 w - - 0 1|d2e2 f7f8 i2h4 f8f9 h4g6
5|5k3/9/9/9/9/9/1n7/1R1K3C1/9/9 w - - 0 1|b2b3 f9f8 b3b8 f8f9 b8e8
